Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Wed Jan 19 2005,8:30p,Los Angeles Clippers,79,San Antonio Spurs,80,Box Score,,17603,
Wed Jan 19 2005,9:00p,Memphis Grizzlies,88,Phoenix Suns,79,Box Score,,18422,
Wed Jan 19 2005,10:00p,Cleveland Cavaliers,107,POR,101,Box Score,,16398,
Wed Jan 19 2005,10:30p,Minnesota Timberwolves,90,Los Angeles Lakers,93,Box Score,,18417,
Thu Jan 20 2005,8:00p,Houston Rockets,108,Orlando Magic,99,Box Score,,17283,
Thu Jan 20 2005,8:30p,Los Angeles Clippers,77,Dallas Mavericks,99,Box Score,,19576,
Thu Jan 20 2005,10:30p,Cleveland Cavaliers,96,Sacramento Kings,123,Box Score,,17317,
Fri Jan 21 2005,7:00p,Dallas Mavericks,105,Charlotte Bobcats,99,Box Score,,17186,
Fri Jan 21 2005,7:00p,Toronto Raptors,109,Washington Wizards,118,Box Score,,15424,
Fri Jan 21 2005,7:30p,Boston Celtics,98,New Jersey Nets,104,Box Score,,15461,
Fri Jan 21 2005,7:30p,Houston Rockets,92,New York Knicks,91,Box Score,,19763,
Fri Jan 21 2005,8:00p,Indiana Pacers,106,Miami Heat,100,Box Score,OT,20131,
Fri Jan 21 2005,8:30p,Atlanta Hawks,85,Chicago Bulls,95,Box Score,,18815,
Fri Jan 21 2005,8:30p,Detroit Pistons,86,Milwaukee Bucks,89,Box Score,,16145,
Fri Jan 21 2005,10:30p,Memphis Grizzlies,82,DEN,92,Box Score,,18056,
Fri Jan 21 2005,10:30p,Golden State Warriors,101,Los Angeles Lakers,105,Box Score,,18997,
Fri Jan 21 2005,10:30p,San Antonio Spurs,128,Phoenix Suns,123,Box Score,OT,18422,
Fri Jan 21 2005,10:30p,Minnesota Timberwolves,112,SEA,107,Box Score,,17072,
Sat Jan 22 2005,7:00p,Boston Celtics,96,Atlanta Hawks,100,Box Score,,16382,
Sat Jan 22 2005,7:00p,Philadelphia 76ers,111,Orlando Magic,115,Box Score,,17283,
Sat Jan 22 2005,7:30p,Chicago Bulls,100,Detroit Pistons,89,Box Score,,22076,
Sat Jan 22 2005,8:00p,Washington Wizards,95,Indiana Pacers,93,Box Score,,16005,
Sat Jan 22 2005,8:00p,Los Angeles Clippers,85,New Orleans Hornets,88,Box Score,,14123,
Sat Jan 22 2005,9:00p,Memphis Grizzlies,110,Utah Jazz,94,Box Score,,19707,
Sat Jan 22 2005,10:00p,Minnesota Timberwolves,92,POR,83,Box Score,,18432,
Sat Jan 22 2005,10:30p,Cleveland Cavaliers,105,Golden State Warriors,87,Box Score,,19624,
Sun Jan 23 2005,1:00p,DEN,93,Dallas Mavericks,95,Box Score,,19744,
Sun Jan 23 2005,1:00p,Charlotte Bobcats,92,Toronto Raptors,103,Box Score,,14196,
Sun Jan 23 2005,3:00p,Milwaukee Bucks,101,New York Knicks,96,Box Score,,19563,
Sun Jan 23 2005,6:00p,New Orleans Hornets,68,Miami Heat,97,Box Score,,19600,
Sun Jan 23 2005,8:00p,New Jersey Nets,105,Phoenix Suns,113,Box Score,,18139,
Sun Jan 23 2005,9:00p,San Antonio Spurs,103,Sacramento Kings,73,Box Score,,17317,
Sun Jan 23 2005,9:00p,Utah Jazz,105,SEA,122,Box Score,,16823,
Mon Jan 24 2005,7:00p,Washington Wizards,106,Cleveland Cavaliers,97,Box Score,,17002,
Mon Jan 24 2005,7:00p,Miami Heat,98,Philadelphia 76ers,106,Box Score,,19172,
Mon Jan 24 2005,7:30p,Chicago Bulls,107,Atlanta Hawks,82,Box Score,,11659,
Mon Jan 24 2005,8:00p,Detroit Pistons,83,Minnesota Timberwolves,86,Box Score,,17439,
Mon Jan 24 2005,8:30p,Orlando Magic,78,Houston Rockets,89,Box Score,,18282,
Mon Jan 24 2005,10:00p,San Antonio Spurs,99,POR,107,Box Score,,15575,
Mon Jan 24 2005,10:30p,Dallas Mavericks,87,Los Angeles Clippers,97,Box Score,,16642,
Tue Jan 25 2005,7:00p,Boston Celtics,97,Charlotte Bobcats,92,Box Score,,11129,
Tue Jan 25 2005,7:30p,Phoenix Suns,133,New York Knicks,118,Box Score,,18680,
Tue Jan 25 2005,8:00p,Orlando Magic,83,Memphis Grizzlies,95,Box Score,,16173,
Tue Jan 25 2005,8:30p,DEN,107,Chicago Bulls,111,Box Score,,18911,
Tue Jan 25 2005,10:00p,New Jersey Nets,93,Sacramento Kings,113,Box Score,,17317,
Tue Jan 25 2005,10:30p,SEA,104,Los Angeles Lakers,93,Box Score,,18997,
Wed Jan 26 2005,7:00p,Indiana Pacers,86,Boston Celtics,100,Box Score,,13285,
Wed Jan 26 2005,7:00p,Memphis Grizzlies,111,Cleveland Cavaliers,114,Box Score,,17057,
Wed Jan 26 2005,7:00p,Miami Heat,111,Toronto Raptors,96,Box Score,,19800,
Wed Jan 26 2005,7:00p,Philadelphia 76ers,107,Washington Wizards,117,Box Score,,17050,
Wed Jan 26 2005,7:30p,DEN,70,Detroit Pistons,87,Box Score,,22076,
Wed Jan 26 2005,8:00p,Phoenix Suns,121,Milwaukee Bucks,115,Box Score,,13847,
Wed Jan 26 2005,8:00p,Atlanta Hawks,87,Minnesota Timberwolves,104,Box Score,,15423,
Wed Jan 26 2005,8:00p,Houston Rockets,82,New Orleans Hornets,77,Box Score,,15249,
Wed Jan 26 2005,9:00p,SEA,100,Utah Jazz,109,Box Score,,18821,
Wed Jan 26 2005,10:00p,Dallas Mavericks,95,POR,88,Box Score,,16402,
Wed Jan 26 2005,10:30p,New Jersey Nets,113,Golden State Warriors,99,Box Score,,14589,
Wed Jan 26 2005,10:30p,Los Angeles Lakers,89,Los Angeles Clippers,105,Box Score,,20127,
Thu Jan 27 2005,7:00p,Detroit Pistons,88,Indiana Pacers,76,Box Score,,18345,
Thu Jan 27 2005,8:30p,Charlotte Bobcats,93,Chicago Bulls,101,Box Score,,19439,
Thu Jan 27 2005,9:30p,Sacramento Kings,80,San Antonio Spurs,90,Box Score,,18797,
Fri Jan 28 2005,7:00p,Toronto Raptors,94,Charlotte Bobcats,101,Box Score,,15986,
Fri Jan 28 2005,7:00p,Cleveland Cavaliers,96,New York Knicks,99,Box Score,,19763,
Fri Jan 28 2005,7:00p,Washington Wizards,101,Orlando Magic,108,Box Score,,13824,
Fri Jan 28 2005,7:30p,Miami Heat,106,Atlanta Hawks,96,Box Score,,18886,
Fri Jan 28 2005,7:30p,Phoenix Suns,128,Boston Celtics,119,Box Score,,17109,
Fri Jan 28 2005,8:00p,Utah Jazz,91,Minnesota Timberwolves,93,Box Score,,19553,
Fri Jan 28 2005,8:00p,Philadelphia 76ers,95,New Orleans Hornets,99,Box Score,OT,15322,
Fri Jan 28 2005,8:30p,DEN,106,Milwaukee Bucks,100,Box Score,,16219,
Fri Jan 28 2005,9:30p,Sacramento Kings,117,Houston Rockets,111,Box Score,OT,18191,
Fri Jan 28 2005,10:00p,Los Angeles Clippers,86,POR,90,Box Score,,16063,
Fri Jan 28 2005,10:30p,SEA,88,Golden State Warriors,85,Box Score,,14535,
Fri Jan 28 2005,10:30p,New Jersey Nets,109,Los Angeles Lakers,103,Box Score,,18997,
Sat Jan 29 2005,7:00p,Orlando Magic,103,Washington Wizards,97,Box Score,,20173,
Sat Jan 29 2005,7:30p,New York Knicks,61,Detroit Pistons,91,Box Score,,22076,
Sat Jan 29 2005,8:00p,DEN,95,Indiana Pacers,88,Box Score,,18345,
Sat Jan 29 2005,8:00p,Atlanta Hawks,83,Memphis Grizzlies,84,Box Score,,18119,
Sat Jan 29 2005,8:30p,Boston Celtics,101,Chicago Bulls,97,Box Score,,22869,
Sat Jan 29 2005,8:30p,Philadelphia 76ers,93,Dallas Mavericks,89,Box Score,,20432,
Sat Jan 29 2005,8:30p,New Orleans Hornets,83,San Antonio Spurs,93,Box Score,,18797,
Sat Jan 29 2005,9:00p,New Jersey Nets,99,Utah Jazz,82,Box Score,,19911,
Sat Jan 29 2005,10:30p,Golden State Warriors,85,Los Angeles Clippers,96,Box Score,,17160,
Sun Jan 30 2005,1:00p,Houston Rockets,95,Miami Heat,104,Box Score,,20178,
Sun Jan 30 2005,3:30p,Sacramento Kings,94,Minnesota Timberwolves,84,Box Score,,18722,
Sun Jan 30 2005,4:30p,Phoenix Suns,123,Toronto Raptors,105,Box Score,,19800,
Sun Jan 30 2005,6:30p,Milwaukee Bucks,87,Cleveland Cavaliers,104,Box Score,,18094,
Sun Jan 30 2005,9:30p,Charlotte Bobcats,90,Los Angeles Lakers,101,Box Score,,18532,
Mon Jan 31 2005,7:00p,Houston Rockets,97,Boston Celtics,94,Box Score,,14063,
Mon Jan 31 2005,7:00p,Indiana Pacers,88,Philadelphia 76ers,89,Box Score,,16312,
Mon Jan 31 2005,7:30p,Orlando Magic,79,Atlanta Hawks,80,Box Score,,18714,
Mon Jan 31 2005,8:00p,Memphis Grizzlies,98,New Orleans Hornets,91,Box Score,,11610,
Mon Jan 31 2005,10:00p,San Antonio Spurs,103,SEA,84,Box Score,,17072,
Mon Jan 31 2005,10:30p,New York Knicks,89,Los Angeles Clippers,96,Box Score,,16851,
Tue Feb 1 2005,7:00p,Cleveland Cavaliers,102,Orlando Magic,105,Box Score,,15092,
Tue Feb 1 2005,7:00p,Detroit Pistons,105,Washington Wizards,96,Box Score,,16843,
Tue Feb 1 2005,7:30p,Chicago Bulls,97,New Jersey Nets,107,Box Score,,14546,
Tue Feb 1 2005,8:00p,Phoenix Suns,97,Memphis Grizzlies,108,Box Score,,16637,
Tue Feb 1 2005,8:00p,Minnesota Timberwolves,86,Milwaukee Bucks,91,Box Score,,15947,
Tue Feb 1 2005,8:30p,Miami Heat,104,Dallas Mavericks,109,Box Score,,20465,
Tue Feb 1 2005,9:00p,New York Knicks,76,DEN,96,Box Score,,15821,
Tue Feb 1 2005,9:00p,Charlotte Bobcats,109,Utah Jazz,105,Box Score,,17854,
Tue Feb 1 2005,10:00p,SEA,106,Sacramento Kings,101,Box Score,,17317,
Tue Feb 1 2005,10:30p,POR,79,Los Angeles Lakers,92,Box Score,,18116,
Wed Feb 2 2005,7:00p,New Jersey Nets,89,Boston Celtics,110,Box Score,,16317,
Wed Feb 2 2005,7:00p,Toronto Raptors,98,Indiana Pacers,97,Box Score,,14783,
Wed Feb 2 2005,7:00p,Houston Rockets,118,Philadelphia 76ers,95,Box Score,,18440,
Wed Feb 2 2005,7:30p,Atlanta Hawks,84,Detroit Pistons,99,Box Score,,22076,
Wed Feb 2 2005,8:00p,Phoenix Suns,108,Minnesota Timberwolves,79,Box Score,,17179,
Wed Feb 2 2005,8:00p,Dallas Mavericks,90,New Orleans Hornets,82,Box Score,,11094,
Wed Feb 2 2005,10:00p,DEN,94,POR,97,Box Score,,14256,
Wed Feb 2 2005,10:30p,Sacramento Kings,111,Golden State Warriors,107,Box Score,OT,17347,
Thu Feb 3 2005,8:00p,Los Angeles Clippers,106,Memphis Grizzlies,103,Box Score,,14697,
Thu Feb 3 2005,8:00p,Cleveland Cavaliers,88,Miami Heat,100,Box Score,,19968,
Thu Feb 3 2005,10:30p,San Antonio Spurs,103,Los Angeles Lakers,91,Box Score,,18997,
Fri Feb 4 2005,7:00p,Dallas Mavericks,94,Indiana Pacers,95,Box Score,,16739,
Fri Feb 4 2005,7:00p,Atlanta Hawks,85,Philadelphia 76ers,103,Box Score,,18609,
Fri Feb 4 2005,7:00p,Washington Wizards,100,Toronto Raptors,103,Box Score,,15546,
Fri Feb 4 2005,7:30p,Orlando Magic,100,Boston Celtics,112,Box Score,,16528,
Fri Feb 4 2005,8:30p,Los Angeles Clippers,90,Milwaukee Bucks,92,Box Score,,13814,
Fri Feb 4 2005,9:30p,Houston Rockets,119,Minnesota Timberwolves,113,Box Score,OT,19444,
Fri Feb 4 2005,10:00p,Charlotte Bobcats,89,POR,101,Box Score,,14362,
Fri Feb 4 2005,10:00p,New York Knicks,115,Sacramento Kings,116,Box Score,,17317,
Fri Feb 4 2005,10:30p,New Orleans Hornets,82,Golden State Warriors,90,Box Score,,13589,
Sat Feb 5 2005,1:00p,Detroit Pistons,85,New Jersey Nets,107,Box Score,,17469,
Sat Feb 5 2005,7:00p,Indiana Pacers,84,Atlanta Hawks,79,Box Score,,16873,
Sat Feb 5 2005,7:00p,Milwaukee Bucks,94,Washington Wizards,112,Box Score,,20173,
Sat Feb 5 2005,7:30p,Orlando Magic,92,Cleveland Cavaliers,101,Box Score,,20562,
Sat Feb 5 2005,7:30p,Chicago Bulls,97,Miami Heat,108,Box Score,,20061,
Sat Feb 5 2005,9:00p,Golden State Warriors,91,DEN,107,Box Score,,19099,
Sat Feb 5 2005,9:00p,New York Knicks,106,Phoenix Suns,114,Box Score,,18422,
Sat Feb 5 2005,9:00p,New Orleans Hornets,92,Utah Jazz,108,Box Score,,19575,
Sat Feb 5 2005,10:00p,Sacramento Kings,108,POR,114,Box Score,,19002,
Sat Feb 5 2005,10:00p,Charlotte Bobcats,99,SEA,113,Box Score,,16901,
Sun Feb 6 2005,1:00p,Boston Celtics,103,Minnesota Timberwolves,100,Box Score,,16174,
Sun Feb 6 2005,1:00p,Los Angeles Clippers,104,Philadelphia 76ers,106,Box Score,,15056,
Sun Feb 6 2005,1:00p,Dallas Mavericks,122,Toronto Raptors,113,Box Score,,17896,
Sun Feb 6 2005,3:30p,Los Angeles Lakers,102,Houston Rockets,103,Box Score,,18201,
Mon Feb 7 2005,7:00p,Indiana Pacers,104,Washington Wizards,108,Box Score,,14804,
Mon Feb 7 2005,7:30p,Los Angeles Lakers,108,Atlanta Hawks,114,Box Score,,15633,
Mon Feb 7 2005,7:30p,Golden State Warriors,96,Miami Heat,105,Box Score,,19078,
Mon Feb 7 2005,7:30p,Philadelphia 76ers,97,New Jersey Nets,107,Box Score,OT,13461,
Mon Feb 7 2005,9:00p,New York Knicks,102,Utah Jazz,99,Box Score,OT,18584,
Tue Feb 8 2005,7:00p,San Antonio Spurs,104,Charlotte Bobcats,85,Box Score,,12985,
Tue Feb 8 2005,7:00p,Toronto Raptors,91,Cleveland Cavaliers,104,Box Score,,17036,
Tue Feb 8 2005,7:00p,Golden State Warriors,113,Orlando Magic,109,Box Score,,12121,
Tue Feb 8 2005,8:00p,Minnesota Timberwolves,96,Memphis Grizzlies,108,Box Score,,16169,
Tue Feb 8 2005,8:00p,Boston Celtics,97,Milwaukee Bucks,121,Box Score,,13764,
Tue Feb 8 2005,8:30p,Chicago Bulls,107,Dallas Mavericks,100,Box Score,,20224,
Tue Feb 8 2005,9:00p,Utah Jazz,87,DEN,97,Box Score,,15898,
Tue Feb 8 2005,10:00p,Phoenix Suns,125,Sacramento Kings,123,Box Score,,17317,
Tue Feb 8 2005,10:00p,New Orleans Hornets,91,SEA,108,Box Score,,15482,
Wed Feb 9 2005,7:00p,Los Angeles Clippers,89,Boston Celtics,94,Box Score,,13136,
Wed Feb 9 2005,7:00p,Charlotte Bobcats,87,Indiana Pacers,94,Box Score,,14719,
Wed Feb 9 2005,7:00p,Memphis Grizzlies,98,Philadelphia 76ers,95,Box Score,,14499,
Wed Feb 9 2005,7:00p,Milwaukee Bucks,110,Toronto Raptors,107,Box Score,,14269,
Wed Feb 9 2005,7:00p,San Antonio Spurs,87,Washington Wizards,95,Box Score,,20173,
Wed Feb 9 2005,7:30p,Los Angeles Lakers,104,New Jersey Nets,103,Box Score,OT,13979,
Wed Feb 9 2005,7:30p,Miami Heat,116,New York Knicks,110,Box Score,OT,19763,
Wed Feb 9 2005,8:00p,DEN,92,Minnesota Timberwolves,98,Box Score,,15442,
Wed Feb 9 2005,8:30p,Chicago Bulls,92,Houston Rockets,105,Box Score,,14267,
Wed Feb 9 2005,10:00p,New Orleans Hornets,91,POR,80,Box Score,,13454,
Thu Feb 10 2005,7:00p,Atlanta Hawks,96,Orlando Magic,101,Box Score,,12004,
Thu Feb 10 2005,8:00p,Los Angeles Lakers,81,Detroit Pistons,103,Box Score,,22076,
Thu Feb 10 2005,10:30p,Sacramento Kings,107,SEA,115,Box Score,,16629,
Fri Feb 11 2005,7:00p,Miami Heat,97,Charlotte Bobcats,87,Box Score,,22166,
Fri Feb 11 2005,7:00p,Houston Rockets,91,Indiana Pacers,83,Box Score,,18345,
Fri Feb 11 2005,7:00p,Philadelphia 76ers,106,Toronto Raptors,91,Box Score,,19800,
Fri Feb 11 2005,7:00p,Los Angeles Clippers,91,Washington Wizards,94,Box Score,,15881,
Fri Feb 11 2005,7:30p,New York Knicks,94,Boston Celtics,111,Box Score,,16031,
Fri Feb 11 2005,7:30p,San Antonio Spurs,101,New Jersey Nets,91,Box Score,,17121,
Fri Feb 11 2005,8:00p,DEN,106,Cleveland Cavaliers,101,Box Score,,20562,
Fri Feb 11 2005,8:00p,POR,82,Memphis Grizzlies,88,Box Score,,18119,
Fri Feb 11 2005,8:00p,Golden State Warriors,108,New Orleans Hornets,111,Box Score,,15760,
Fri Feb 11 2005,9:00p,SEA,113,Phoenix Suns,105,Box Score,,18422,
Fri Feb 11 2005,9:00p,Minnesota Timberwolves,82,Utah Jazz,100,Box Score,,19291,
Fri Feb 11 2005,10:30p,Dallas Mavericks,115,Sacramento Kings,113,Box Score,,17317,
Sat Feb 12 2005,7:00p,Orlando Magic,99,Philadelphia 76ers,112,Box Score,,20389,
Sat Feb 12 2005,7:30p,Washington Wizards,86,Detroit Pistons,107,Box Score,,22076,
Sat Feb 12 2005,8:30p,Atlanta Hawks,83,Milwaukee Bucks,113,Box Score,,15876,
Sun Feb 13 2005,1:00p,San Antonio Spurs,92,Miami Heat,96,Box Score,,20258,
Sun Feb 13 2005,3:30p,Los Angeles Lakers,89,Cleveland Cavaliers,103,Box Score,,20562,
Sun Feb 13 2005,3:30p,Chicago Bulls,87,Minnesota Timberwolves,83,Box Score,,19420,
Sun Feb 13 2005,6:00p,Sacramento Kings,104,Boston Celtics,100,Box Score,,14252,
Sun Feb 13 2005,6:00p,Memphis Grizzlies,73,Indiana Pacers,76,Box Score,,17290,
Sun Feb 13 2005,6:00p,DEN,79,New Jersey Nets,94,Box Score,,16125,
Sun Feb 13 2005,6:00p,Charlotte Bobcats,99,New York Knicks,102,Box Score,,19763,
Sun Feb 13 2005,6:00p,New Orleans Hornets,94,Orlando Magic,97,Box Score,,12497,
Sun Feb 13 2005,6:00p,Los Angeles Clippers,106,Toronto Raptors,109,Box Score,,15721,
Sun Feb 13 2005,8:00p,Dallas Mavericks,95,SEA,92,Box Score,,17072,
Sun Feb 13 2005,8:30p,POR,80,Houston Rockets,81,Box Score,,18058,
Sun Feb 13 2005,9:00p,Phoenix Suns,106,Golden State Warriors,102,Box Score,OT,16544,
Mon Feb 14 2005,7:00p,POR,80,Charlotte Bobcats,77,Box Score,,9213,
Mon Feb 14 2005,7:00p,New York Knicks,105,Philadelphia 76ers,106,Box Score,,15303,
Mon Feb 14 2005,7:30p,Milwaukee Bucks,83,Detroit Pistons,107,Box Score,,22076,
Mon Feb 14 2005,8:00p,Washington Wizards,96,New Orleans Hornets,98,Box Score,,11687,
Mon Feb 14 2005,9:00p,Utah Jazz,128,Phoenix Suns,136,Box Score,,18422,
Tue Feb 15 2005,7:00p,Los Angeles Clippers,94,Orlando Magic,99,Box Score,,12577,
Tue Feb 15 2005,7:30p,DEN,100,Atlanta Hawks,96,Box Score,,19043,
Tue Feb 15 2005,8:00p,New Jersey Nets,71,Minnesota Timberwolves,82,Box Score,,16299,
Tue Feb 15 2005,8:30p,Sacramento Kings,102,Chicago Bulls,107,Box Score,,21789,
Tue Feb 15 2005,8:30p,Washington Wizards,93,Houston Rockets,123,Box Score,,12703,
Tue Feb 15 2005,10:30p,Dallas Mavericks,114,Golden State Warriors,107,Box Score,,15254,
Tue Feb 15 2005,10:30p,Utah Jazz,95,Los Angeles Lakers,102,Box Score,,18480,
Wed Feb 16 2005,7:00p,Memphis Grizzlies,88,Boston Celtics,90,Box Score,,13078,
Wed Feb 16 2005,7:00p,DEN,88,Charlotte Bobcats,94,Box Score,,11754,
Wed Feb 16 2005,7:00p,Atlanta Hawks,89,Cleveland Cavaliers,111,Box Score,,16540,
Wed Feb 16 2005,7:00p,POR,87,Indiana Pacers,95,Box Score,,14935,
Wed Feb 16 2005,7:00p,Detroit Pistons,93,Philadelphia 76ers,75,Box Score,,17085,
Wed Feb 16 2005,7:00p,Chicago Bulls,121,Toronto Raptors,115,Box Score,,15881,
Wed Feb 16 2005,7:30p,Los Angeles Clippers,95,Miami Heat,113,Box Score,,19600,
Wed Feb 16 2005,7:30p,Sacramento Kings,85,New Jersey Nets,96,Box Score,,12227,
Wed Feb 16 2005,7:30p,Milwaukee Bucks,90,New York Knicks,108,Box Score,,19763,
Wed Feb 16 2005,9:00p,San Antonio Spurs,101,New Orleans Hornets,78,Box Score,,13105,
Wed Feb 16 2005,9:00p,Golden State Warriors,117,SEA,110,Box Score,,15705,
Thu Feb 17 2005,8:00p,Cleveland Cavaliers,88,Minnesota Timberwolves,94,Box Score,,18122,
Thu Feb 17 2005,10:30p,Dallas Mavericks,119,Phoenix Suns,113,Box Score,,18422,
Tue Feb 22 2005,7:00p,Milwaukee Bucks,112,Charlotte Bobcats,102,Box Score,,10817,
Tue Feb 22 2005,7:00p,Indiana Pacers,108,Orlando Magic,84,Box Score,,14512,
Tue Feb 22 2005,7:30p,New York Knicks,88,Detroit Pistons,97,Box Score,,22076,
Tue Feb 22 2005,7:30p,Toronto Raptors,100,New Jersey Nets,82,Box Score,,14080,
Tue Feb 22 2005,8:30p,Miami Heat,101,Chicago Bulls,105,Box Score,OT,22682,
Tue Feb 22 2005,8:30p,SEA,87,Houston Rockets,85,Box Score,,17239,
Tue Feb 22 2005,10:00p,Atlanta Hawks,104,Sacramento Kings,114,Box Score,,17317,
Tue Feb 22 2005,10:30p,Boston Celtics,95,Los Angeles Lakers,104,Box Score,,18997,
Wed Feb 23 2005,7:00p,Chicago Bulls,91,Cleveland Cavaliers,100,Box Score,,20562,
Wed Feb 23 2005,7:00p,Miami Heat,91,Indiana Pacers,93,Box Score,OT,18345,
Wed Feb 23 2005,7:00p,Memphis Grizzlies,83,Washington Wizards,93,Box Score,,15705,
Wed Feb 23 2005,8:00p,New Jersey Nets,81,Milwaukee Bucks,100,Box Score,,14216,
Wed Feb 23 2005,8:00p,SEA,103,New Orleans Hornets,85,Box Score,,12771,
Wed Feb 23 2005,9:00p,Boston Celtics,86,DEN,107,Box Score,,17987,
Wed Feb 23 2005,9:00p,Los Angeles Clippers,101,Phoenix Suns,118,Box Score,,18221,
Wed Feb 23 2005,9:00p,Houston Rockets,81,San Antonio Spurs,99,Box Score,,18797,
Wed Feb 23 2005,9:00p,Dallas Mavericks,101,Utah Jazz,83,Box Score,,18521,
Wed Feb 23 2005,10:00p,Los Angeles Lakers,86,POR,83,Box Score,,18665,
Wed Feb 23 2005,10:30p,Atlanta Hawks,96,Golden State Warriors,101,Box Score,,15391,
Thu Feb 24 2005,7:00p,Philadelphia 76ers,101,New York Knicks,113,Box Score,,19763,
Thu Feb 24 2005,9:30p,Sacramento Kings,113,Dallas Mavericks,122,Box Score,,20377,
Thu Feb 24 2005,10:30p,Minnesota Timberwolves,86,Los Angeles Clippers,92,Box Score,,18569,
Fri Feb 25 2005,7:30p,Charlotte Bobcats,86,New Jersey Nets,93,Box Score,,14571,
Fri Feb 25 2005,8:00p,Cleveland Cavaliers,82,Indiana Pacers,106,Box Score,,18345,
Fri Feb 25 2005,8:00p,DEN,97,Memphis Grizzlies,94,Box Score,OT,18119,
Fri Feb 25 2005,8:30p,Washington Wizards,90,Chicago Bulls,97,Box Score,,22708,
Fri Feb 25 2005,8:30p,Toronto Raptors,106,Milwaukee Bucks,102,Box Score,,15883,
Fri Feb 25 2005,9:00p,Boston Celtics,109,Utah Jazz,102,Box Score,,19911,
Fri Feb 25 2005,10:00p,Atlanta Hawks,101,POR,102,Box Score,,15525,
Fri Feb 25 2005,10:30p,Detroit Pistons,111,Los Angeles Lakers,90,Box Score,,18997,
Fri Feb 25 2005,10:30p,Minnesota Timberwolves,88,SEA,98,Box Score,,17072,
Sat Feb 26 2005,1:00p,Orlando Magic,98,Miami Heat,101,Box Score,,20043,
Sat Feb 26 2005,7:00p,Chicago Bulls,94,Charlotte Bobcats,90,Box Score,,17495,
Sat Feb 26 2005,7:30p,Indiana Pacers,79,New York Knicks,90,Box Score,,19763,
Sat Feb 26 2005,7:30p,Sacramento Kings,101,Philadelphia 76ers,99,Box Score,,21068,
Sat Feb 26 2005,8:30p,Phoenix Suns,124,Dallas Mavericks,123,Box Score,,20435,
Sat Feb 26 2005,8:30p,Memphis Grizzlies,84,San Antonio Spurs,82,Box Score,,18797,
Sun Feb 27 2005,1:00p,Cleveland Cavaliers,98,New Jersey Nets,104,Box Score,,18452,
Sun Feb 27 2005,1:00p,Los Angeles Lakers,102,Toronto Raptors,108,Box Score,,19800,
Sun Feb 27 2005,3:00p,SEA,73,Milwaukee Bucks,99,Box Score,,17112,
Sun Feb 27 2005,4:00p,Utah Jazz,99,Houston Rockets,92,Box Score,,18182,
Sun Feb 27 2005,6:00p,Sacramento Kings,110,Washington Wizards,108,Box Score,,20173,
Sun Feb 27 2005,7:00p,DEN,94,New Orleans Hornets,93,Box Score,,14548,
Sun Feb 27 2005,7:30p,Miami Heat,112,Orlando Magic,103,Box Score,,17283,
Sun Feb 27 2005,8:00p,Boston Celtics,120,Phoenix Suns,113,Box Score,OT,18422,
Sun Feb 27 2005,8:00p,Minnesota Timberwolves,91,POR,83,Box Score,,17068,
Sun Feb 27 2005,9:00p,Detroit Pistons,94,Golden State Warriors,88,Box Score,,16892,
Sun Feb 27 2005,9:30p,Atlanta Hawks,104,Los Angeles Clippers,111,Box Score,,18306,
Mon Feb 28 2005,7:00p,San Antonio Spurs,94,Cleveland Cavaliers,92,Box Score,,18216,
Mon Feb 28 2005,7:30p,Los Angeles Lakers,115,New York Knicks,117,Box Score,OT,19763,
Mon Feb 28 2005,8:30p,New Orleans Hornets,86,Dallas Mavericks,90,Box Score,,19947,
Mon Feb 28 2005,9:00p,Los Angeles Clippers,86,Utah Jazz,87,Box Score,,18565,
Tue Mar 1 2005,2:00p,Golden State Warriors,97,Memphis Grizzlies,99,Box Score,,14209,
Tue Mar 1 2005,7:00p,Sacramento Kings,87,Charlotte Bobcats,94,Box Score,,11790,
Tue Mar 1 2005,7:00p,SEA,101,Indiana Pacers,93,Box Score,,14971,
Tue Mar 1 2005,8:00p,Philadelphia 76ers,118,Milwaukee Bucks,111,Box Score,,13978,
Tue Mar 1 2005,8:30p,Houston Rockets,119,Chicago Bulls,89,Box Score,,21755,
Tue Mar 1 2005,9:00p,Atlanta Hawks,74,DEN,97,Box Score,,15341,
Tue Mar 1 2005,10:00p,Detroit Pistons,103,POR,93,Box Score,,17664,
Wed Mar 2 2005,7:00p,SEA,103,Cleveland Cavaliers,86,Box Score,,17522,
Wed Mar 2 2005,7:00p,Sacramento Kings,111,Orlando Magic,114,Box Score,,13568,
Wed Mar 2 2005,7:00p,New Jersey Nets,99,Philadelphia 76ers,93,Box Score,,18216,
Wed Mar 2 2005,7:00p,Houston Rockets,98,Washington Wizards,101,Box Score,,18415,
Wed Mar 2 2005,7:30p,Los Angeles Lakers,101,Boston Celtics,104,Box Score,,18624,
Wed Mar 2 2005,8:00p,Golden State Warriors,99,Minnesota Timberwolves,93,Box Score,,15074,
Wed Mar 2 2005,8:30p,Toronto Raptors,86,San Antonio Spurs,92,Box Score,,17795,
Wed Mar 2 2005,9:00p,Charlotte Bobcats,85,New Orleans Hornets,94,Box Score,,14517,
Wed Mar 2 2005,9:00p,Atlanta Hawks,74,Utah Jazz,96,Box Score,,17766,
